text;;;;;;
RT @TheBeatlesPix: George Harrison;;;;;;
George Harrison;;;;;;
RT @izumiman1961: THE ＃BEATLES https://t.co/VpZcwJlwvV;;;;;;
Can't wait to see Zizek's latest documentary about the #Beatles https://t.co/UqViimPIyw;;;;;;
THE ＃BEATLES https://t.co/16RdwIpcWo;;;;;;
My favourite bit of Peter Jackson’s #GetBack doco is Andy Serkis’ performance as Yoko Ono.;;;;;;
THE ＃BEATLES https://t.co/SHHwVwYLnp;;;;;;
THE ＃BEATLES https://t.co/VpZcwJlwvV;;;;;;
RT @sinKEVitch: Remembering #GeorgeHarrison ;;;;;;
RT @BeatlesEveryDay: I look at you all see the love there that's sleeping;;;;;;
THE ＃BEATLES https://t.co/rb0lfB7yXR;;;;;;
RT @ROYORBISON: Remembering George Harrison today;;;;;;
How many points do you give The Beatles’ “Besame Mucho” from the Anthology 1 compilation?;;;;;;
THE ＃BEATLES https://t.co/Oz9AVnyYs8;;;;;;
Beatles Song Of The Day;;;;;;
RT @TheBeatlesPix: the #Beatles in 1968 https://t.co/6BQw5xwVAF;;;;;;
RT @TheBeatlesPix: George Harrison in India 1966;;;;;;
RT @TheBeatlesPix: the #Beatles in 1968 https://t.co/6BQw5xwVAF;;;;;;
RT @LisaMelanson10: Some vintage vinyl before tonight entertainment on @disneyplus streaming of @thebeatles: Get Back ;;;;;;
RT @ROYORBISON: Remembering George Harrison today;;;;;;
#Beatles stopped playing live in ‘69. They’re no better than Lincoln park https://t.co/qPid1IYC2f;;;;;;
RT @atticesoterica: Vintage Unused #Beatles Yellow Submarine Portal Graphic Zippo Commemorative Tin in Original Packaging NOS https://t.co/…;;;;;;
My #Beatles #GetBack hot take is we need to bring back toast racks.;;;;;;
RT @jhoburgh: How many points do you give The Beatles’ “Real Love” from the Anthology 2 compilation?;;;;;;
RT @BeatlesArchive2: John Lennon with fans;;;;;;
RT @izumiBeatles: THE ＃BEATLES https://t.co/2jQ7Ju3OkN;;;;;;
RT @mattpuccini: #GetBack lets you hang out with the #Beatles (and Yoko of course...) in their jam sessions.  Their personalities and relat…;;;;;;
RT @planet_beatles: Why didn't the Beatles record All Things Must Pass?;;;;;;
RT @cjsnowdon: Get Back leaves more questions than answers. We need to see more footage. My review of Peter Jackson’s film. #Beatles #GetBa…;;;;;;
I sort of feel everything you need to know is on the back cover here 😂 #Beatles https://t.co/C7d9Eu65Yk;;;;;;
RT @BeatlesEveryDay: Like a rolling stone. Like a rolling stone. Like a rolling stone  #DigIt #Beatles;;;;;;
RT @sinKEVitch: Remembering #GeorgeHarrison ;;;;;;
Why didn't the Beatles record All Things Must Pass?;;;;;;
RT @BeatlesArchive2: John Lennon with fans;;;;;;
RT @TheBeatlesPix: the #Beatles in 1968 https://t.co/6BQw5xwVAF;;;;;;
RT @TheBeatlesPix: the #Beatles in 1968 https://t.co/6BQw5xwVAF;;;;;;
